"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
33,"management","single","university.degree","no","yes","yes","cellular","apr","wed",427,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.498,5099.1,"no"
33,"blue-collar","single","high.school","no","yes","no","telephone","may","wed",202,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
55,"housemaid","single","university.degree","no","yes","no","telephone","aug","tue",11,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.904,4991.6,"no"
27,"admin.","married","university.degree","no","no","no","cellular","jul","fri",67,5,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
45,"admin.","married","university.degree","no","no","no","cellular","aug","mon",608,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
60,"admin.","married","basic.9y","no","no","no","cellular","jul","thu",174,2,25,2,"failure",-1.7,94.215,-40.3,0.884,4991.6,"yes"
29,"admin.","married","university.degree","no","no","no","cellular","aug","tue",124,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
41,"admin.","married","professional.course","","yes","no","telephone","may","fri",72,1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
37,"admin.","single","university.degree","no","no","no","cellular","aug","mon",102,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
47,"admin.","single","university.degree","no","yes","no","cellular","jun","mon",243,4,999,0,"nonexistent",-2.9,92.963,-40.8,1.281,5076.2,"yes"
46,"management","married","university.degree","no","no","no","telephone","may","mon",103,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
46,"blue-collar","married","basic.6y","no","no","no","cellular","nov","thu",123,3,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
37,"blue-collar","single","professional.course","no","no","no","cellular","may","mon",54,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.264,5099.1,"no"
36,"blue-collar","married","basic.4y","no","yes","no","telephone","jun","fri",86,3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
43,"blue-collar","divorced","high.school","no","yes","no","cellular","jul","tue",658,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes"
32,"technician","single","professional.course","no","yes","no","cellular","may","fri",347,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
31,"admin.","single","high.school","no","yes","no","cellular","nov","wed",66,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
50,"blue-collar","divorced","professional.course","no","yes","yes","cellular","nov","fri",49,1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
38,"blue-collar","married","basic.4y","no","no","no","telephone","may","wed",548,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
31,"management","single","university.degree","no","no","no","cellular","jun","thu",1094,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"no"
