,Entity,Code,Year,Researchers.in.R.D..per.million.people.,Individuals.using.the.Internet....of.population.,Historical.and.more.recent.expenditure.estimates,Combined...average.years.of.education.for.15.64.years.male.and.female.youth.and.adults,Outbound.mobility.ratio..all.regions..both.sexes....
1,Belgium,BEL,2010,3732.8313,75,6.44259,11.29,2.56788
2,Belgium,BEL,2011,3875.644,81.60999,6.43199,11.29,2.69193
3,Belgium,BEL,2012,4113.2637,80.71999,6.255765,11.29,2.80164
4,Belgium,BEL,2013,4155.911,82.1702,6.63053,11.29,2.59121
5,Belgium,BEL,2014,4528.915,85,6.59047,11.29,2.60136
6,Belgium,BEL,2015,4711.0454,85.05294,6.45157,11.36,2.67837
7,Belgium,BEL,2016,4780.517,86.51648,6.46173,11.36,2.78529
8,Belgium,BEL,2017,4729.5537,87.67968,6.42534,11.36,2.8539
9,Belgium,BEL,2018,5003.946,88.64735,6.38107,11.36,3.07808
10,Belgium,BEL,2019,5253.2104,90.27543,6.33397,11.36,3.07808
11,Belgium,BEL,2020,5750.144,91.52641,6.81233,11.57,3.07808
12,Finland,FIN,2010,7720.2236,86.89,6.50445,10.71,2.45063
13,Finland,FIN,2011,7421.582,88.70999,6.44505,10.71,2.50318
14,Finland,FIN,2012,7473.706,89.88,7.14804,10.71,2.6378
15,Finland,FIN,2013,7206.532,91.5144,7.12404,10.71,2.68432
16,Finland,FIN,2014,7009.2876,86.530396,7.10237,10.71,2.8877
17,Finland,FIN,2015,6844.5474,86.422134,7.03208,10.94,3.08756
18,Finland,FIN,2016,6531.4795,87.70365,6.85153,10.94,3.42606
19,Finland,FIN,2017,6721.83,87.468925,6.36311,10.94,3.70789
20,Finland,FIN,2018,6861.146,88.88996,6.27558,10.94,3.85657
21,Finland,FIN,2019,7227.544,89.60738,6.41695,10.94,3.85657
22,Finland,FIN,2020,7527.361,92.17027,6.63494,11.05,3.85657
23,Italy,ITA,2010,1743.3444,53.68,4.33412,10.71,2.04552
24,Italy,ITA,2011,1781.3885,54.39,4.11568,10.71,2.24837
25,Italy,ITA,2012,1848.6268,55.829998,4.05602,10.71,2.48576
